reel_id,reel_url,source_profile,date_added,status,remaining_order,video_name,batch_number,scheduled_date,youtube_video_id
1328101095800411,https://www.facebook.com/reel/1328101095800411/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,710,,,,
1218529976935446,https://www.facebook.com/reel/1218529976935446/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,711,,,,
1319969319038394,https://www.facebook.com/reel/1319969319038394/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,712,,,,
1239301317085672,https://www.facebook.com/reel/1239301317085672/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,713,,,,
818117299747059,https://www.facebook.com/reel/818117299747059/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,714,,,,
1097232649204743,https://www.facebook.com/reel/1097232649204743/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,715,,,,
1553245029842016,https://www.facebook.com/reel/1553245029842016/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,716,,,,
321510563455321,https://www.facebook.com/reel/321510563455321/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,717,,,,
948906029699097,https://www.facebook.com/reel/948906029699097/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,718,,,,
529843675816798,https://www.facebook.com/reel/529843675816798/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,719,,,,
918630696621322,https://www.facebook.com/reel/918630696621322/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,720,,,,
654943689413867,https://www.facebook.com/reel/654943689413867/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,721,,,,
499114966520130,https://www.facebook.com/reel/499114966520130/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,722,,,,
1618732798780898,https://www.facebook.com/reel/1618732798780898/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,723,,,,
627312702445532,https://www.facebook.com/reel/627312702445532/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,724,,,,
1572549016956541,https://www.facebook.com/reel/1572549016956541/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,725,,,,
1345426076788236,https://www.facebook.com/reel/1345426076788236/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,726,,,,
2765047870507761,https://www.facebook.com/reel/2765047870507761/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,727,,,,
348713090876444,https://www.facebook.com/reel/348713090876444/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,728,,,,
1764671400840225,https://www.facebook.com/reel/1764671400840225/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,729,,,,
868532028484451,https://www.facebook.com/reel/868532028484451/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,730,,,,
1823948191544446,https://www.facebook.com/reel/1823948191544446/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,731,,,,
1758247194876457,https://www.facebook.com/reel/1758247194876457/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,732,,,,
602401181415826,https://www.facebook.com/reel/602401181415826/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,733,,,,
1703027787730605,https://www.facebook.com/reel/1703027787730605/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,734,,,,
1531584321621841,https://www.facebook.com/reel/1531584321621841/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,735,,,,
1884983408867382,https://www.facebook.com/reel/1884983408867382/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,736,,,,
1094877716052936,https://www.facebook.com/reel/1094877716052936/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,737,,,,
1306089200662128,https://www.facebook.com/reel/1306089200662128/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,738,,,,
525157680252531,https://www.facebook.com/reel/525157680252531/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,739,,,,
1938567556903301,https://www.facebook.com/reel/1938567556903301/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,740,,,,
916565266847900,https://www.facebook.com/reel/916565266847900/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,741,,,,
992476421733748,https://www.facebook.com/reel/992476421733748/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,742,,,,
4241708672821102,https://www.facebook.com/reel/4241708672821102/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,743,,,,
1129391360935773,https://www.facebook.com/reel/1129391360935773/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,744,,,,
1560274511126147,https://www.facebook.com/reel/1560274511126147/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,745,,,,
935611965243690,https://www.facebook.com/reel/935611965243690/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,746,,,,
1286384183020703,https://www.facebook.com/reel/1286384183020703/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,747,,,,
592679606979895,https://www.facebook.com/reel/592679606979895/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,748,,,,
1500167434612135,https://www.facebook.com/reel/1500167434612135/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,749,,,,
293491089839726,https://www.facebook.com/reel/293491089839726/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,750,,,,
712261580959885,https://www.facebook.com/reel/712261580959885/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,751,,,,
1685664558720896,https://www.facebook.com/reel/1685664558720896/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,752,,,,
27471340899170813,https://www.facebook.com/reel/27471340899170813/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,753,,,,
716437264078550,https://www.facebook.com/reel/716437264078550/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,754,,,,
966522274533161,https://www.facebook.com/reel/966522274533161/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,755,,,,
1647252396383472,https://www.facebook.com/reel/1647252396383472/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,756,,,,
1181452806515537,https://www.facebook.com/reel/1181452806515537/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,757,,,,
499677532842265,https://www.facebook.com/reel/499677532842265/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,758,,,,
952778573704535,https://www.facebook.com/reel/952778573704535/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,759,,,,
3078496632447585,https://www.facebook.com/reel/3078496632447585/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,760,,,,
1599485784071271,https://www.facebook.com/reel/1599485784071271/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,761,,,,
1691707305287657,https://www.facebook.com/reel/1691707305287657/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,762,,,,
779335708389475,https://www.facebook.com/reel/779335708389475/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,763,,,,
